,Date,Week,Rank,MovieCode,MovieName,OpenDate,SalesAmount,SalesShare,SalesInten,SalesChange,SalesAcc,AudienceCount,AudienceInten,AudienceChange,AudienceAcc,ScreenCount,ShowCount
29,2020-02-15,202007,9,20198948,두 교황,2019-12-11,2415000,0.7,-69000,-2.8,240372460,301,-2,-0.7,31082,5,12
36,2020-02-08,202006,6,20198948,두 교황,2019-12-11,2484000,0.6,11000,0.4,236002960,303,-2,-0.7,30502,11,28
51,2020-01-25,202004,1,20198818,프린스 코기,2019-12-24,22054000,6.8,-8167000,-27.0,1503048980,4340,591,15.8,199386,9,28
56,2020-01-25,202004,6,20190602,"고흐, 영원의 문에서",2019-12-26,10190480,3.2,-1748840,-14.6,301795530,1117,-322,-22.4,37034,16,44
59,2020-01-25,202004,9,20198948,두 교황,2019-12-11,7130000,2.2,-6369000,-47.2,225091160,927,-765,-45.2,29051,10,34
63,2020-01-18,202003,3,20198818,프린스 코기,2019-12-24,30221000,6.8,14045760,86.8,1455534980,3749,1391,59.0,190037,22,53
66,2020-01-18,202003,6,20198948,두 교황,2019-12-11,13499000,3.0,-1537500,-10.2,212661160,1692,-96,-5.4,27412,15,42
68,2020-01-18,202003,8,20190602,"고흐, 영원의 문에서",2019-12-26,11939320,2.7,-14851820,-55.4,281327310,1439,-1668,-53.7,34582,23,75
69,2020-01-18,202003,9,20199434,"베를린, 아이 러브 유",2019-12-04,918000,0.2,918000,100.0,3531900,900,900,100.0,2266,1,3
73,2020-01-11,202002,3,20190602,"고흐, 영원의 문에서",2019-12-26,26791140,8.1,-19708060,-42.4,254392340,3107,-1983,-39.0,31160,40,134
74,2020-01-11,202002,4,20198818,프린스 코기,2019-12-24,16175240,4.9,-123068880,-88.4,1394782580,2358,-14810,-86.3,182081,37,105
76,2020-01-11,202002,6,20198948,두 교황,2019-12-11,15036500,4.5,-6872160,-31.4,188817660,1788,-821,-31.5,24304,13,53
77,2020-01-11,202002,7,20198701,"미안해요, 리키",2019-12-19,11317240,3.4,-7538480,-40.0,258452900,1370,-891,-39.4,32756,22,75
80,2020-01-04,202001,0,20198818,프린스 코기,2019-12-24,139244120,33.2,-207115980,-59.8,1302825480,17168,-26562,-60.7,167037,238,792
83,2020-01-04,202001,3,20190602,"고흐, 영원의 문에서",2019-12-26,46499200,11.1,-12811480,-21.6,201918600,5090,-2174,-29.9,24713,52,202
84,2020-01-04,202001,4,20198948,두 교황,2019-12-11,21908660,5.2,4146100,23.3,159408200,2609,307,13.3,20644,15,57
85,2020-01-04,202001,5,20198701,"미안해요, 리키",2019-12-19,18855720,4.5,-12770940,-40.4,232977220,2261,-1553,-40.7,29505,37,131
86,2020-01-04,202001,6,20190733,와일드라이프 ,2019-12-25,10980820,2.6,-17355340,-61.2,86345740,1275,-1984,-60.9,10751,36,113
87,2020-01-04,202001,7,20199867,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,6229000,1.5,-1579480,-20.2,280058260,910,-59,-6.1,38299,4,16
89,2020-01-04,202001,9,20196293,파비안느에 관한 진실,2019-12-05,4403480,1.0,-7279520,-62.3,289170700,582,-1982,-77.3,43539,13,39
90,2019-12-28,201952,0,20198818,프린스 코기,2019-12-24,346360100,61.2,339548100,4984.6,877404060,43730,42974,5684.4,112330,416,1606
91,2019-12-28,201952,1,20190602,"고흐, 영원의 문에서",2019-12-26,59310680,10.5,57503180,3181.4,96140660,7264,7022,2901.7,12018,68,270
92,2019-12-28,201952,2,20198701,"미안해요, 리키",2019-12-19,31626660,5.6,-22252720,-41.3,182427060,3814,-2941,-43.5,23193,50,174
93,2019-12-28,201952,3,20190733,와일드라이프 ,2019-12-25,28336160,5.0,27009460,2035.8,54672020,3259,3128,2387.8,6855,49,166
94,2019-12-28,201952,4,20196293,파비안느에 관한 진실,2019-12-05,11683000,2.1,-7767100,-39.9,271583340,2564,-121,-4.5,38883,25,74
95,2019-12-28,201952,5,20198948,두 교황,2019-12-11,17762560,3.1,2959280,20.0,113774140,2302,442,23.8,15036,15,52
98,2019-12-28,201952,8,20199867,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,7808480,1.4,-6404500,-45.1,264839820,969,-739,-43.3,36102,6,21
99,2019-12-28,201952,9,20196721,디에고,2019-12-12,1076400,0.2,-1360100,-55.8,41996900,878,586,200.7,8585,5,21
100,2019-12-21,201951,0,20198701,"미안해요, 리키",2019-12-19,53879380,30.2,49362080,1092.7,97288260,6755,6166,1046.9,12488,66,320
101,2019-12-21,201951,1,20196293,파비안느에 관한 진실,2019-12-05,19450100,10.9,-18103840,-48.2,240007280,2685,-2094,-43.8,32441,40,131
102,2019-12-21,201951,2,20198948,두 교황,2019-12-11,14803280,8.3,-13238240,-47.2,78166500,1860,-1674,-47.4,10278,17,57
104,2019-12-21,201951,4,20199867,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,14212980,8.0,-17700220,-55.5,245447360,1708,-2287,-57.2,33478,10,32
106,2019-12-21,201951,6,20198818,프린스 코기,2019-12-24,6812000,3.8,6812000,100.0,19100000,756,756,100.0,2940,4,4
107,2019-12-21,201951,7,20198962,결혼 이야기,2019-11-27,6026960,3.4,-3833660,-38.9,149195280,666,-525,-44.1,18483,9,25
108,2019-12-21,201951,8,20198942,아이리시맨,2019-11-20,5302500,3.0,-5013180,-48.6,278893900,599,-602,-50.1,33032,8,22
109,2019-12-21,201951,9,20195790,콜드 워,2019-02-07,5532000,3.1,5445000,6258.6,229014373,594,581,4469.2,27681,2,3
110,2019-12-14,201950,0,20196293,파비안느에 관한 진실,2019-12-05,37553940,20.3,-20035820,-34.8,194442280,4779,-2034,-29.9,26212,56,229
111,2019-12-14,201950,1,20199867,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,31913200,17.2,-61700,-0.2,213044880,3995,-292,-6.8,28957,22,70
112,2019-12-14,201950,2,20198948,두 교황,2019-12-11,28041520,15.2,28041520,100.0,40780300,3534,3534,100.0,5229,66,244
113,2019-12-14,201950,3,20199769,매리,2019-12-11,17469760,9.4,15929760,1034.4,32913860,2285,2131,1383.8,4356,148,538
114,2019-12-14,201950,4,20196721,디에고,2019-12-12,8463600,4.6,8463600,100.0,33150600,1696,1696,100.0,6673,26,120
115,2019-12-14,201950,5,20198942,아이리시맨,2019-11-20,10315680,5.6,-4352340,-29.7,267883780,1201,-524,-30.4,31671,11,36
116,2019-12-14,201950,6,20198962,결혼 이야기,2019-11-27,9860620,5.3,-5182580,-34.5,137182120,1191,-545,-31.4,17057,15,45
117,2019-12-14,201950,7,20190064,산타 앤 컴퍼니,2019-12-12,6064600,3.3,6064600,100.0,16646100,740,740,100.0,2028,57,152
118,2019-12-14,201950,8,20198701,"미안해요, 리키",2019-12-19,4517300,2.4,4244300,1554.7,22270800,589,548,1336.6,2768,7,11
119,2019-12-14,201950,9,20190817,10년,2019-12-12,4836600,2.6,4836600,100.0,10255600,477,477,100.0,1095,16,52
120,2019-12-07,201949,0,20196293,파비안느에 관한 진실,2019-12-05,57589760,37.0,53195960,1210.7,105094060,6813,6318,1276.4,14804,68,395
121,2019-12-07,201949,1,20199867,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,31974900,20.5,10368160,48.0,150121280,4287,1542,56.2,20136,24,80
122,2019-12-07,201949,2,20198962,결혼 이야기,2019-11-27,15043200,9.7,-39557200,-72.4,118856360,1736,-4589,-72.6,14742,21,83
123,2019-12-07,201949,3,20198942,아이리시맨,2019-11-20,14668020,9.4,-24996060,-63.0,249816180,1725,-2891,-62.6,29400,17,60
125,2019-12-07,201949,5,20196679,어메이징 그레이스,2019-11-28,3827600,2.5,-5536620,-59.1,30702200,522,-698,-57.2,3938,18,45
126,2019-12-07,201949,6,20193265,지구 최후의 밤,2019-07-25,4316280,2.8,4316280,100.0,52452080,481,481,100.0,6448,5,5
127,2019-12-07,201949,7,20190014,오피셜 시크릿,2019-11-27,4146700,2.7,-39066300,-90.4,98938800,471,-4597,-90.7,12372,37,106
130,2019-11-23,201947,0,20198942,아이리시맨,2019-11-20,93039800,45.7,93039800,100.0,135386360,10097,10097,100.0,15127,63,219
131,2019-11-23,201947,1,20199867,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,28483420,14.0,27067420,1911.5,46734980,3390,3213,1815.3,5663,52,190
132,2019-11-23,201947,2,20195901,더 컨덕터,2019-11-14,14571380,7.2,-8646320,-37.2,74832780,1697,-746,-30.5,8773,32,112
133,2019-11-23,201947,3,20197602,시빌,2019-11-21,13937400,6.8,12273400,737.6,26474380,1667,1459,701.4,3257,52,194
134,2019-11-23,201947,4,19878294,모리스,2019-11-07,7211600,3.5,-10725980,-59.8,115885840,850,-1315,-60.7,13799,20,63
135,2019-11-23,201947,5,20197962,심판,2019-11-14,5951880,2.9,-6074100,-50.5,33806660,694,-702,-50.3,4366,23,73
136,2019-11-23,201947,6,20191781,북클럽,2019-06-20,3050000,1.5,3050000,100.0,220647690,610,610,100.0,30063,2,4
