,Date,Week,Rank,MovieCode,MovieName,OpenDate,SalesAmount,SalesShare,SalesInten,SalesChange,SalesAcc,AudienceCount,AudienceInten,AudienceChange,AudienceAcc,ScreenCount,ShowCount
4,2020-02-29,202009,4,20170272,산상수훈,2017-12-07,413000,3.6,0,0.0,416034790,35,0,0.0,55033,1,1
7,2020-02-29,202009,7,20196284,윤희에게,2019-11-14,72000,0.6,-196000,-73.1,968439809,8,-24,-75.0,121506,1,2
8,2020-02-29,202009,8,20181103,벌새,2019-08-29,72000,0.6,-18000,-20.0,1185096074,8,-2,-20.0,145795,1,1
11,2020-02-22,202008,1,20170272,산상수훈,2017-12-07,413000,9.1,8000,2.0,415621790,35,1,2.9,54998,1,1
12,2020-02-22,202008,2,20196284,윤희에게,2019-11-14,268000,5.9,-523700,-66.1,968247809,32,-78,-70.9,121484,3,7
17,2020-02-22,202008,7,20169284,이태원,2019-12-05,139000,3.1,-430000,-75.6,26671260,18,-47,-72.3,3311,2,3
18,2020-02-22,202008,8,20189281,폴란드로 간 아이들,2018-10-31,34000,0.8,34000,100.0,389552800,17,17,100.0,51061,1,5
21,2020-02-15,202007,1,20196284,윤희에게,2019-11-14,791700,11.4,-61300,-7.2,967266309,110,9,8.9,121362,7,13
24,2020-02-15,202007,4,20181168,메기,2019-09-26,621000,8.9,554000,826.9,329034828,69,62,885.7,39005,1,1
25,2020-02-15,202007,5,20169284,이태원,2019-12-05,569000,8.2,548000,2609.5,26379260,65,62,2066.7,3276,2,4
27,2020-02-15,202007,7,20181103,벌새,2019-08-29,306000,4.4,174000,131.8,1184111074,34,20,142.9,145688,1,1
28,2020-02-15,202007,8,20170272,산상수훈,2017-12-07,405000,5.8,-8000,-1.9,415196790,34,-1,-2.9,54962,1,1
32,2020-02-08,202006,2,20196284,윤희에게,2019-11-14,853000,18.9,-685908,-44.6,965867609,101,-114,-53.0,121175,5,10
35,2020-02-08,202006,5,20170272,산상수훈,2017-12-07,413000,9.1,-7000,-1.7,414791790,35,0,0.0,54928,1,1
36,2020-02-08,202006,6,20181103,벌새,2019-08-29,132000,2.9,-226000,-63.1,1182951074,14,-29,-67.4,145553,1,3
38,2020-02-08,202006,8,20181168,메기,2019-09-26,67000,1.5,49000,272.2,328183828,7,4,133.3,38909,1,2
39,2020-02-08,202006,9,20199346,우키시마호,2019-09-19,14000,0.3,4000,40.0,21023940,7,2,40.0,2549,1,6
43,2020-02-01,202005,3,20196284,윤희에게,2019-11-14,1538908,11.8,-72092,-4.5,964450609,215,22,11.4,121000,4,12
44,2020-02-01,202005,4,20198182,아내를 죽였다,2019-12-11,740000,5.7,740000,100.0,794209560,148,148,100.0,97719,2,2
49,2020-02-01,202005,9,20169284,이태원,2019-12-05,636000,4.9,215000,51.1,25338260,64,16,33.3,3156,1,3
52,2020-01-25,202004,2,20196284,윤희에게,2019-11-14,1611000,14.6,-777000,-32.5,960968701,193,-114,-37.1,120524,6,16
56,2020-01-25,202004,6,20169284,이태원,2019-12-05,421000,3.8,-270000,-39.1,24444260,48,-27,-36.0,3060,3,6
57,2020-01-25,202004,7,20181103,벌새,2019-08-29,361000,3.3,-192000,-34.7,1181254074,42,-20,-32.3,145360,1,3
58,2020-01-25,202004,8,20181168,메기,2019-09-26,285000,2.6,231000,427.8,327933828,32,23,255.6,38880,1,2
59,2020-01-25,202004,9,20170272,산상수훈,2017-12-07,308000,2.8,48000,18.5,413958790,27,0,0.0,54858,1,1
63,2020-01-18,202003,3,20196284,윤희에게,2019-11-14,2388000,6.9,-2891500,-54.8,957108001,307,-330,-51.8,120028,7,19
67,2020-01-18,202003,7,20196732,헤로니모,2019-11-21,871000,2.5,-82000,-8.6,116757720,88,-31,-26.1,15910,2,3
69,2020-01-18,202003,9,20191106,영화로운 나날,2019-12-12,634500,1.8,428500,208.0,15941480,76,44,137.5,2023,3,3
72,2020-01-11,202002,2,20196284,윤희에게,2019-11-14,5279500,6.9,-2747500,-34.2,951940001,637,-237,-27.1,119354,11,29
74,2020-01-11,202002,4,20190470,이타미 준의 바다,2019-08-15,865000,1.1,865000,100.0,190028160,144,144,100.0,23446,1,1
76,2020-01-11,202002,6,20191371,디아스포라의 노래 : 아리랑 로드 ,2019-12-12,620000,0.8,-15000,-2.4,12674500,124,-2,-1.6,2250,2,3
77,2020-01-11,202002,7,20196732,헤로니모,2019-11-21,953000,1.2,-398000,-29.5,115846720,119,-62,-34.3,15816,2,3
78,2020-01-11,202002,8,20169284,이태원,2019-12-05,992000,1.3,-593000,-37.4,22409260,113,-76,-40.2,2826,4,11
79,2020-01-11,202002,9,20181103,벌새,2019-08-29,911000,1.2,-125000,-12.1,1178802074,100,-17,-14.5,145074,3,6
81,2020-01-04,202001,1,20196284,윤희에게,2019-11-14,8027000,25.7,456600,6.0,942649501,874,-18,-2.0,118212,11,33
82,2020-01-04,202001,2,20184133,어제 일은 모두 괜찮아,2019-11-21,2236000,7.2,1436000,179.5,133789280,551,369,202.7,18556,2,5
84,2020-01-04,202001,4,20169284,이태원,2019-12-05,1585000,5.1,838000,112.2,20709260,189,88,87.1,2622,7,16
85,2020-01-04,202001,5,20196732,헤로니모,2019-11-21,1351000,4.3,361400,36.5,113125720,181,48,36.1,15349,3,6
86,2020-01-04,202001,6,20191371,디아스포라의 노래 : 아리랑 로드 ,2019-12-12,635000,2.0,385000,154.0,10039500,126,79,168.1,1724,3,6
87,2020-01-04,202001,7,20181103,벌새,2019-08-29,1036000,3.3,-782000,-43.0,1177460074,117,-95,-44.8,144915,3,6
88,2020-01-04,202001,8,20196760,대통령의 7시간,2019-11-14,689000,2.2,-530000,-43.5,240474840,88,-76,-46.3,28521,4,12
90,2019-12-28,201952,0,20196284,윤희에게,2019-11-14,7570400,26.8,-6123600,-44.7,926724150,892,-764,-46.1,116333,13,35
91,2019-12-28,201952,1,20190678,삽질,2019-11-14,2599000,9.2,1654000,175.0,121326530,278,183,192.6,15274,3,8
92,2019-12-28,201952,2,20181103,벌새,2019-08-29,1818000,6.4,-483000,-21.0,1173660925,212,-103,-32.7,144414,5,9
93,2019-12-28,201952,3,20184133,어제 일은 모두 괜찮아,2019-11-21,800000,2.8,-3390500,-80.9,129624280,182,-822,-81.9,17542,2,5
94,2019-12-28,201952,4,20196760,대통령의 7시간,2019-11-14,1219000,4.3,451500,58.8,238897840,164,70,74.5,28318,5,15
