,Date,Week,Rank,MovieCode,MovieName,OpenDate,SalesAmount,SalesShare,SalesInten,SalesChange,SalesAcc,AudienceCount,AudienceInten,AudienceChange,AudienceAcc,ScreenCount,ShowCount
9,2020-02-29,202009,9,20197803,겨울왕국 2,2019-11-21,4737120,0.2,-1371320,-22.4,114801495310,672,-130,-16.2,13746441,26,87
17,2020-02-22,202008,7,20197803,겨울왕국 2,2019-11-21,6108440,0.2,-3445040,-36.1,114794068790,802,-248,-23.6,13745303,25,78
24,2020-02-15,202007,4,20100312,인셉션,2010-07-21,38546800,1.0,-75265200,-66.1,44358698900,4192,-8538,-67.1,5940033,79,281
25,2020-02-15,202007,5,20192401,포드 V 페라리,2019-12-04,36490300,0.9,22638880,163.4,11994467900,3874,1784,85.4,1362833,51,295
27,2020-02-15,202007,7,20197803,겨울왕국 2,2019-11-21,9553480,0.2,-609660,-6.0,114784745920,1050,-46,-4.2,13743944,28,82
28,2020-02-15,202007,8,20198430,나이브스 아웃,2019-12-04,7486600,0.2,-21381160,-74.1,6835802850,826,-3840,-82.3,808790,8,30
31,2020-02-08,202006,1,20100312,인셉션,2010-07-21,113812000,5.9,-245223000,-68.3,44263035800,12730,-26598,-67.6,5928845,153,957
34,2020-02-08,202006,4,20198430,나이브스 아웃,2019-12-04,28867760,1.5,-43032040,-59.9,6810023030,4666,-6681,-58.9,805209,60,220
35,2020-02-08,202006,5,20192401,포드 V 페라리,2019-12-04,13851420,0.7,-17150160,-55.3,11949368260,2090,-2729,-56.6,1357656,37,129
38,2020-02-08,202006,8,20197803,겨울왕국 2,2019-11-21,10163140,0.5,-3963460,-28.1,114772028740,1096,-458,-29.5,13742394,16,54
41,2020-02-01,202005,1,20100312,인셉션,2010-07-21,359035000,30.5,359035000,100.0,44004924200,39328,39328,100.0,5898428,241,2117
42,2020-02-01,202005,2,20198430,나이브스 아웃,2019-12-04,71899800,6.1,38525640,115.4,6748210330,11347,7759,216.2,795200,109,475
45,2020-02-01,202005,5,20192401,포드 V 페라리,2019-12-04,31001580,2.6,8495280,37.7,11920855160,4819,2411,100.1,1353228,74,264
47,2020-02-01,202005,7,20196272,미드웨이,2019-12-31,16477440,1.4,5227600,46.5,8199701530,2611,1231,89.2,953507,78,262
54,2020-01-25,202004,4,20197803,겨울왕국 2,2019-11-21,57422100,2.3,-89662960,-61.0,114708035190,6568,-10682,-61.9,13735028,59,217
57,2020-01-25,202004,7,20198430,나이브스 아웃,2019-12-04,33374160,1.3,-43390280,-56.5,6642633870,3588,-5768,-61.7,779085,29,109
59,2020-01-25,202004,9,20192401,포드 V 페라리,2019-12-04,22506300,0.9,-57916560,-72.0,11871709720,2408,-6952,-74.3,1346052,17,60
63,2020-01-18,202003,3,20196272,미드웨이,2019-12-31,187969080,3.1,-722420070,-79.4,8106506070,21200,-81816,-79.4,941075,279,1181
64,2020-01-18,202003,4,20197803,겨울왕국 2,2019-11-21,147085060,2.4,-227985410,-60.8,114593258590,17250,-26036,-60.1,13721190,224,878
65,2020-01-18,202003,5,20192401,포드 V 페라리,2019-12-04,80422860,1.3,-86650360,-51.9,11823555440,9360,-8393,-47.3,1340445,74,281
66,2020-01-18,202003,6,20198430,나이브스 아웃,2019-12-04,76764440,1.3,-86357360,-52.9,6575466930,9356,-8102,-46.4,771188,70,280
68,2020-01-18,202003,8,20199981,눈의 여왕4,2019-12-24,4200500,0.1,-25680200,-85.9,1464934100,3460,-3142,-47.6,206925,12,44
69,2020-01-18,202003,9,20199950,조커,2019-10-02,9968000,0.2,5192500,108.7,45396356450,1425,828,138.7,5249975,20,58
72,2020-01-11,202002,2,20196272,미드웨이,2019-12-31,910389150,8.7,-1808391970,-66.5,7632661370,103016,-203208,-66.4,884240,581,4047
73,2020-01-11,202002,3,20197803,겨울왕국 2,2019-11-21,375070470,3.6,-614984870,-62.1,114295145710,43286,-69247,-61.5,13684648,425,1891
74,2020-01-11,202002,4,20192401,포드 V 페라리,2019-12-04,167073220,1.6,-284892820,-63.0,11682461980,17753,-29627,-62.5,1323852,129,585
75,2020-01-11,202002,5,20198430,나이브스 아웃,2019-12-04,163121800,1.6,-124790120,-43.3,6425335950,17458,-13800,-44.1,753091,116,521
76,2020-01-11,202002,6,20199981,눈의 여왕4,2019-12-24,29880700,0.3,-138307140,-82.2,1445266400,6602,-14127,-68.2,197351,44,148
78,2020-01-11,202002,8,20183867,알라딘,2019-05-23,27784000,0.3,27784000,100.0,106982922359,3473,3473,100.0,12555756,6,46
80,2020-01-04,202001,0,20196272,미드웨이,2019-12-31,2718781120,54.0,2715661120,87040.4,5818353580,306224,305912,98048.7,669797,842,8757
81,2020-01-04,202001,1,20197803,겨울왕국 2,2019-11-21,990055340,19.7,-678594910,-40.7,113542953120,112533,-78807,-41.2,13593927,644,4009
82,2020-01-04,202001,2,20192401,포드 V 페라리,2019-12-04,451966040,9.0,-46479880,-9.3,11368227300,47380,-6501,-12.1,1288953,204,1241
84,2020-01-04,202001,4,20198430,나이브스 아웃,2019-12-04,287911920,5.7,-58136160,-16.8,6127176010,31258,-6726,-17.7,719800,155,853
85,2020-01-04,202001,5,20199981,눈의 여왕4,2019-12-24,168187840,3.3,-127930580,-43.2,1373733200,20729,-22772,-52.3,184801,250,831
86,2020-01-04,202001,6,20192721,캣츠,2019-12-24,82764100,1.6,-885639560,-91.5,6273767070,9659,-100495,-91.2,749641,254,892
88,2020-01-04,202001,8,20198681,쥬만지: 넥스트 레벨,2019-12-11,6994080,0.1,-33549980,-82.7,8790215910,839,-3996,-82.6,1056912,12,41
89,2020-01-04,202001,9,20136803,겨울왕국,2014-01-16,6843000,0.1,6843000,100.0,82492453400,791,791,100.0,10299708,2,8
90,2019-12-28,201952,0,20197803,겨울왕국 2,2019-11-21,1668650250,42.7,-1347273390,-44.7,110775480740,191340,-157738,-45.2,13265198,712,4051
91,2019-12-28,201952,1,20192721,캣츠,2019-12-24,968403660,24.8,968403660,100.0,5838643210,110154,110154,100.0,696173,731,6504
92,2019-12-28,201952,2,20192401,포드 V 페라리,2019-12-04,498445920,12.8,-191995200,-27.8,10349888380,53881,-21843,-28.8,1177035,181,874
93,2019-12-28,201952,3,20199981,눈의 여왕4,2019-12-24,296118420,7.6,295554420,52403.3,889321900,43501,43407,46177.7,119058,428,1484
94,2019-12-28,201952,4,20198430,나이브스 아웃,2019-12-04,346048080,8.9,-441380,-0.1,5443472790,37984,97,0.3,642671,156,740
95,2019-12-28,201952,5,20198681,쥬만지: 넥스트 레벨,2019-12-11,40544060,1.0,-531303540,-92.9,8756733110,4835,-62484,-92.8,1052403,37,121
96,2019-12-28,201952,6,20193662,마녀: 소녀의 비밀,2019-07-24,8730040,0.2,2493800,40.0,66031000,2108,970,85.2,21937,4,10
97,2019-12-28,201952,7,20196262,여대생 기숙사에서 생긴 일,2019-09-10,8018840,0.2,683720,9.3,67508600,2029,679,50.3,22336,3,9
98,2019-12-28,201952,8,20196130,사이코패스,2019-09-18,7541080,0.2,2104920,38.7,59196040,1937,945,95.3,20715,3,9
99,2019-12-28,201952,9,20193661,이스케이프 게임,2019-10-11,7456600,0.2,101200,1.4,64493020,1925,560,41.0,21745,3,8
100,2019-12-21,201951,0,20197803,겨울왕국 2,2019-11-21,3015923640,63.1,-4674914540,-60.8,106349035930,349078,-546388,-61.0,12737888,855,6734
101,2019-12-21,201951,1,20192401,포드 V 페라리,2019-12-04,690441120,14.4,-1513910530,-68.7,9377202360,75724,-167561,-68.9,1066614,321,1473
102,2019-12-21,201951,2,20198681,쥬만지: 넥스트 레벨,2019-12-11,571847600,12.0,-4614114430,-89.0,8555642330,67319,-533573,-88.8,1025799,495,2272
103,2019-12-21,201951,3,20198430,나이브스 아웃,2019-12-04,346489460,7.3,-746161850,-68.3,4734344190,37887,-85061,-69.2,561000,165,717
104,2019-12-21,201951,4,20190545,카운트다운,2019-12-12,28046500,0.6,-320339500,-91.9,600976500,3159,-37751,-92.3,72215,68,240
105,2019-12-21,201951,5,20197278,라스트 크리스마스,2019-12-05,17375700,0.4,-252799740,-93.6,2036143730,1972,-29440,-93.7,246596,35,98
106,2019-12-21,201951,6,20193681,추격자: 살인자의 증거,2019-07-24,9069240,0.2,8301240,1080.9,58858200,1683,933,124.4,20015,3,8
107,2019-12-21,201951,7,20190163,아스테릭스: 마법 물약의 비밀,2019-12-12,8425000,0.2,-17121680,-67.0,70069680,1589,-1933,-54.9,11084,25,56
108,2019-12-21,201951,8,20193661,이스케이프 게임,2019-10-11,7355400,0.2,6587400,857.7,48953100,1365,615,82.0,18143,3,6
109,2019-12-21,201951,9,20196262,여대생 기숙사에서 생긴 일,2019-09-10,7335120,0.2,6567120,855.1,52083920,1350,600,80.0,18767,4,8
110,2019-12-14,201950,0,20197803,겨울왕국 2,2019-11-21,7690838180,45.4,-4163192870,-35.1,100882962220,895466,-480392,-34.9,12078017,1616,20365
111,2019-12-14,201950,1,20198681,쥬만지: 넥스트 레벨,2019-12-11,5185962030,30.6,5185962030,100.0,6769180850,600892,600892,100.0,802530,1189,15518
112,2019-12-14,201950,2,20192401,포드 V 페라리,2019-12-04,2204351650,13.0,-948179880,-30.1,7756470290,243285,-98769,-28.9,878089,786,5964
113,2019-12-14,201950,3,20198430,나이브스 아웃,2019-12-04,1092651310,6.5,-325613940,-23.0,3772085230,122948,-41291,-25.1,448219,527,3294
114,2019-12-14,201950,4,20190545,카운트다운,2019-12-12,348386000,2.1,348386000,100.0,445084500,40910,40910,100.0,53239,210,1586
115,2019-12-14,201950,5,20197278,라스트 크리스마스,2019-12-05,270175440,1.6,-708306270,-72.4,1898034430,31412,-83148,-72.6,229102,357,1516
116,2019-12-14,201950,6,20190163,아스테릭스: 마법 물약의 비밀,2019-12-12,25546680,0.2,25546680,100.0,41007580,3522,3522,100.0,5827,166,436
117,2019-12-14,201950,7,20199576,러브 앳,2019-11-27,25328500,0.2,-44745500,-63.9,718881000,2765,-5500,-66.5,89958,43,157
