,Date,Week,Rank,MovieCode,MovieName,OpenDate,SalesAmount,SalesShare,SalesInten,SalesChange,SalesAcc,AudienceCount,AudienceInten,AudienceChange,AudienceAcc,ScreenCount,ShowCount
2,2020-02-29,202009,2,20183782,기생충,2019-05-30,20040120,2.2,-70021640,-77.7,87231822075,2789,-10508,-79.0,10284750,101,577
13,2020-02-22,202008,3,20183782,기생충,2019-05-30,90061760,2.4,-514196000,-85.1,87180474965,13297,-75811,-85.1,10277246,145,975
19,2020-02-22,202008,9,20126674,설국열차,2013-08-01,398340,0.0,398340,100.0,67027610320,63,63,100.0,9352569,13,30
22,2020-02-15,202007,2,20183782,기생충,2019-05-30,604257760,6.5,603273760,61308.3,86857892365,89108,88996,79460.7,10228435,180,1130
34,2020-02-08,202006,4,20184571,천문: 하늘에 묻는다,2019-12-26,5982000,0.1,-1016920,-14.5,16502047020,2941,1909,185.0,2000393,4,11
39,2020-02-08,202006,9,20164844,불한당: 나쁜 놈들의 세상,2017-05-17,1520000,0.0,1520000,100.0,7718162525,134,134,100.0,958632,1,1
45,2020-02-01,202005,5,20192206,백두산,2019-12-19,15704020,0.2,-84576180,-84.3,69807415000,2461,-8726,-78.0,8250514,118,413
47,2020-02-01,202005,7,20184571,천문: 하늘에 묻는다,2019-12-26,6998920,0.1,-44852580,-86.5,16490718520,1032,-7287,-87.6,1995473,48,155
54,2020-01-25,202004,4,20192206,백두산,2019-12-19,100280200,0.3,-756793340,-88.3,69747400040,11187,-85945,-88.5,8242478,123,457
55,2020-01-25,202004,5,20184571,천문: 하늘에 묻는다,2019-12-26,51851500,0.2,-250922300,-82.9,16460386780,8319,-26412,-76.0,1990746,89,295
56,2020-01-25,202004,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,18420640,0.1,-70974000,-79.4,7023957300,2177,-8872,-80.3,890370,34,114
57,2020-01-25,202004,7,20183782,기생충,2019-05-30,11186000,0.0,-25758400,-69.7,85968850325,1266,-3595,-74.0,10096295,12,25
58,2020-01-25,202004,8,20198414,시동,2019-12-18,1863440,0.0,-156273720,-98.8,28082176940,199,-17645,-98.9,3314935,9,23
61,2020-01-18,202003,1,20192206,백두산,2019-12-19,857073540,13.2,-1506139360,-63.7,69400001660,97132,-168251,-63.4,8200317,621,5007
62,2020-01-18,202003,2,20184571,천문: 하늘에 묻는다,2019-12-26,302773800,4.7,-870521960,-74.2,16302267060,34731,-102919,-74.8,1968706,435,2168
63,2020-01-18,202003,3,20198414,시동,2019-12-18,158137160,2.4,-743987810,-82.5,28032088380,17844,-82868,-82.3,3308844,326,1590
64,2020-01-18,202003,4,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,89394640,1.4,-163614220,-64.7,6992398860,11049,-19936,-64.3,886361,145,459
65,2020-01-18,202003,5,20183782,기생충,2019-05-30,36944400,0.6,34343980,1320.7,85940671985,4861,4557,1499.0,10092749,47,145
